NIT,"DV
SEDE",ORGANIZACIÓN,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,BARRIO,DIRECCIÓN,CONTACTO,TELÉFONOS DE CONTACTO,CORREO,DIA DE PEDIDO,FRECUENCIA,SEMANA
900192109,,IGLESIA CRISTIANA CUADRANGULAR DISTRITO ANDINO,TEJIENDO COMUNIDAD,FONTIBÓN - NACIONAL,MOSQUERA,VILLA ROCÍO,CARRERA 12 B No. 7 F - 21,JOSUE DAVID PINZÓN LÓPEZ,3125262331,"iccdistritoandino@hotmail.com, josuepinzon72@hotmail.com",VIERNES,QUINCENAL,2 Y 4 SEMANA
901674204,,FUNDACIÓN RENACER A TIEMPO,TERAPÉUTICO POR ADICCIÓN,ENGATIVÁ,SUBA,VILLA MARÍA,CALLE 133 No. 111 - 03,CHAISYNE JHARETH LEMUS QUINTERO,3105794070 - 3125973465,fundacionrenaceratiempo@gmail.com,SÁBADO,QUINCENAL,1 Y 3 SEMANA
830147304,,FUNDACION DE REHABILITACION PARA LA POBLACION CON DISCAPACIDAD FISICA Y MENTAL AMANECER,TERAPÉUTICO POR DISCAPACIDAD,FONTIBÓN,FONTIBÓN,SAN JOSE,CRA 100 NO. 24B-25,MARISOL CARDENAS,3144447038,fundacion_amanecer@hotmail.com,MIÉRCOLES,SEMANAL,SEMANAL
900007370,,CORPORACIÓN SIEMBRA FUTURO - SEDE 1,COMEDOR AMIGO,CRISTO SACERDOTE,CHAPINERO,SAN LUIS ALTOS DEL CABO,CALLE 98 No. 5 ESTE - 78,NYDIA ESPERANZA BOHÓRQUEZ CASANOVA,3153935325,siembrafuturo@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
900007370,,CORPORACIÓN SIEMBRA FUTURO - SEDE 2,COMEDOR AMIGO,CRISTO SACERDOTE,CHAPINERO,SIBERIA CENTRAL,CALLE 47 B No. 3 ESTE - 26,NYDIA ESPERANZA BOHÓRQUEZ CASANOVA,3153935325,siembrafuturo@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
900007370,,CORPORACIÓN SIEMBRA FUTURO - SEDE 3,COMEDOR AMIGO,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,DIVINO NIÑO,CALLE 78 C SUR No. 16 P- 29,NYDIA ESPERANZA BOHÓRQUEZ CASANOVA,3153935325,siembrafuturo@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
900988215,,FUNDACIÓN SAN MARTIN ARCANGEL,TERAPÉUTICO POR DISCAPACIDAD,CRISTO SACERDOTE,BARRIOS UNIDOS,RÍO NEGRO,CARRERA 60 No. 94 B - 06,DEISY FORERO LEAL,3213928543,fundamartinarcangel@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
830503176,,FUNDACIÓN LABRANDO FUTURO LA FUNDACIÓN PODRÁ ABREVIAR CON LA SIGLA LAFUT,INSTITUCIÓN EDUCATIVA,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,MADELENA,CARRERA 69 A No. 61 - 45 SUR,CLAUDIA GUZMÁN,3185481283 - 7111222,labrandofuturolafut@hotmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA
901628264,,IGLESIA MINISTERIO ITINERANTE FUNDEVI,"1. TEJIENDO COMUNIDAD
2. COMEDOR ESCOLAR",SAN PEDRO,USAQUÉN,MORATO,CALLE 128 B No. 56 B - 25,ANGELA MARIA MUÑETON,3118552880,fundacionfundevi@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
830121170,,FUNDACIÓN CIGARRA,"1. COMEDOR AMIGO
2. JARDÍN INFANTIL",SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,PUERTAS DEL PARAÍSO,CALLE 71 Q SUR No. 27 - 60,ESPERANZA DUQUE,3212465421,esperanza.duque@cigarra.org,VIERNES,QUINCENAL,2 Y 4 SEMANA
901112138,,FUNDACIÓN SEMILLAS DE VIDA PARA CRISTO,TEJIENDO COMUNIDAD,FONTIBÓN - NACIONAL,MADRID,SAUCES II,CARRERA 1 B No. 20 - 01,LUZ DARY SALAMANCA GARCÍA,3228632813,fsvcmbg@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
860021657,,PARROQUIA SANTA INES,COMEDOR AMIGO,SAN JOSÉ,SAN CRISTÓBAL,SANTA INÉS SUR,CARRERA 5 A ESTE No. 29 - 12 SUR,FABIOLA BAUTISTA - PADRE GABRIEL ENRIQUE MÉNDEZ ÁLVAREZ - MARÍA LILIA LARA PÉREZ,3153965735,psantaines@arquibogota.org.co,MARTES,QUINCENAL,1 Y 3 SEMANA
901056702,,PARROQUIA SAN AGUSTIN DE HIPONA,BUEN SAMARITANO CON BENEFICIO,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,PROTECHO - CASALINDA,CALLE 58 BIS SUR No. 23 - 04,PADRE FABIÁN CAMILO HERRERA PÉREZ,3209530571 (DESPACHO) - 3132517704 (PADRE),psanagustindehipona@arquibogota.org.co,MIÉRCOLES,QUINCENAL,2 y 4 SEMANA
901585475,,FUNDACIÓN GENIOS DEL MAÑANA,"1. JARDÍN INFANTIL
2. TEJIENDO COMUNIDAD",SAN PABLO,RAFAEL URIBE URIBE,DIANA TURBAY,CARRERA 4 B No. 48 Z - 56 SUR,INGRID JULIETH OROZCO LÓPEZ,3203958979,genios1322@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
901413536,,ASOCIACIÓN COLOMBIANA DE RECICLADORES HUELLA VERDE ESP,TEJIENDO COMUNIDAD,FONTIBÓN,KENNEDY,MARÍA PAZ,DIAGONAL 34 B SUR No. 82 C - 62,DIANA MARCELA HERRERA GÓMEZ,3176567174,info@asogreenesp.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
901122348,,FUNDACIÓN SOCIAL COLOMBIA EMPODERADA,"1. TEJIENDO COMUNIDAD
2. TERAPÉUTICO POR DISCAPACIDAD",SOACHA,CIUDAD BOLÍVAR,CARACOLÍ,CALLE 76 A No. 73 H - 06,ALEXANDRA MARITZA MARTÍNEZ RAYO,3125828708,"colombiaempoderada18@gmail.com, fundacionsocialcolombiaempoderada@gmail.com",VIERNES,QUINCENAL,2 Y 4 SEMANA
900760529,,FUNDACIÓN MISIONEROS MADRE TERESA DE CALCUTA CON SIGLA FUMITECA,COMEDOR AMIGO,SOACHA,SOACHA,VEREDA PANAMÁ,CARRERA 52 ESTE No. 8 - 31,ALEXANDER BUITRAGO VALENCIA,3197794794,fundacionmadreteresa2012@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
800132514,,PARROQUIA SANTA BERNARDITA,BUEN SAMARITANO,FONTIBÓN,KENNEDY,PATIO BONITO,CALLE 5 B No. 87 A - 70,PADRE JACKSON PARADA - MARTHA CORTÉS (PEDIDOS),3053828720 - 3184887513 - 3103053380 (PEDIDOS),parroquiasantabernardita@diocesisdefontibon.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
860029326,,FUNDACIÓN EDUCACIONAL ANA RESTREPO DEL CORRAL,INSTITUCIÓN EDUCATIVA,PADRE MISERICORDIOSO,USAQUÉN,DELICIAS DEL CARMEN,CALLE 130 No. 1 - 10 ESTE,SANDRA GONZÁLEZ,3138785140,serviciosgenerales@fundacionanarestrepo.edu.co,VIERNES,QUINCENAL,2 Y 4 SEMANA
860029711,,PARROQUIA SANTO DOMINGO SAVIO,"1. COMEDOR AMIGO
2. TEJIENDO COMUNIDAD",SAN PEDRO,SUBA,PASADENA,CARRERA 51 No. 104 B - 25,PADRE JOHN FREDY MORALES,3023499921 - 6163901,psantodomingosavio@arquibogota.org.co,VIERNES,SEMANAL,SEMANAL
901691375,,"FUNDACIÓN RENACER, ESPÍRITU LIBRE","1. COMEDOR AMIGO
2. TEJIENDO COMUNIDAD",ESPÍRITU SANTO,RAFAEL URIBE URIBE,CENTENARIO,CARRERA 24 C No. 22 - 73 SUR,HUGO ALDEMAR GALINDO FORERO,3104772733,renacerespiritulibre@gmail.com,JUEVES,SEMANAL,SEMANAL
860016850,,PARROQUIA JESUCRISTO OBRERO,TEJIENDO COMUNIDAD,INMACULADA CONCEPCIÓN,SANTA FÉ,LA PERSEVERANCIA,CARRERA 3 A BIS No. 32 - 10,PADRE FELICIANO TEJEDOR TEJEDOR,3112818732 (ÚNICAMENTE EL PADRE TOMA PEDIDOS - NO HAY NADIE MÁS AUTORIZADO),pjesucristoobrero@arquibogota.org.co,JUEVES,QUINCENAL,2 Y 4 SEMANA
860025553,-1,FUNDACION PROTECCION DE LA JOVEN AMPARO DE NIÑAS - SEDE COLABORADORES,TEJIENDO COMUNIDAD,ENGATIVÁ,ENGATIVÁ,JARDIN BOTÁNICO,AV CRA 70 N.49 -82,CARMEN,3167969816,info@amparodeninas.org,VIERNES,MENSUAL,4 SEMANA
900978823,,FUNDACION TEJER VIDA,"1. COMEDOR AMIGO
2. TEJIENDO COMUNIDAD",ENGATIVÁ,ENGATIVÁ,QUIRIGUA ORIENTAL,CALLE 82 No. 92 - 43,CLAUDIA MARGARITA SUAREZ,3212821057,fundaciontejervida@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA DEL MES
901168751,,IGLESIA CRISTIANA DIOS VIVIENTE,TEJIENDO COMUNIDAD,ENGATIVÁ,ENGATIVÁ,ENGATIVÁ CENTRO,CARRERA 121 No. 64 - 31 PISO 2,JHON JAIRO VARÓN CARO,3134394351,jhonvaron3@gmail.com,JUEVES,QUINCENAL,2 Y 4 SEMANA
830094719,,FUNDACION SUEÑOS DEL MAÑANA,COMEDOR AMIGO,FONTIBÓN,KENNEDY,LOS ALMENDROS,CRA 97C N.42-56 SUR,PILAR HURTADO,5712587-310 7588052 -3124439767/3102608861,fundacions2023@gmail.com,MIÉRCOLES,SEMANAL,SEMANAL
860016577,,PARROQUIA EL INMACULADO CORAZÓN DE MARÍA,TEJIENDO COMUNIDAD,ESPÍRITU SANTO,RAFAEL URIBE URIBE,CLARET,DIAGONAL 45 A SUR No. 27 - 52,VICKY CARO,3213342207,admin@cpincodemar.edu.co,MIÉRCOLES,SEMANAL,SEMANAL
900936583,,FUNDACIÓN CASA HOGAR ANA Y JOAQUIN,ADULTO MAYOR,FONTIBÓN,KENNEDY,PROVIVIENDA,TRANSVERSAL 68 G NO. 34 A - 41 SUR,CARLOS FERNEY RODRIGUEZ GUTIÉRREZ,3208170485 - 3203693870,caferogu2014@gmail.com,VIERNES,QUINCENAL,1 Y 3 SEMANA
832001837,,PARROQUIA SANTA MARIA VIRGEN,BUEN SAMARITANO,ENGATIVÁ,ENGATIVÁ,BOSQUES DE MARIANA,CARRERA 110 A No. 70 A - 07,PADRE INDALECIO AUGUSTO REYES - JORGE REYES,3144326397 - 3022752720,,MIÉRCOLES,SEMANAL,SEMANAL
901497083,,FUNDACIÓN MATHEUS,COMEDOR AMIGO,INMACULADA CONCEPCIÓN,SANTA FÉ,LAS CRUCES,CARRERA 7 No. 2 - 54 / 58,LEIDY YAMELY FONTECHA SUAREZ,3132303900,fundacionmatheus@gmail.com,SÁBADO,QUINCENAL,1 Y 3 SEMANA
832010086,,FUNDACION MULTICENTRO CRESER,COMEDOR ESCOLAR,SOACHA,SIBATE,SIBATE,DIAGONAL 2 No. 2 - 16,NANCY RUBIELA SANCHEZ RAMIREZ,3176395055,cdi345shekinah@hotmail.com,JUEVES,QUINCENAL,1 Y 3 SEMANA DEL MES
860020426,,ASOCIACIÓN DE ENFERMOS DE HANSEN ASOHAN,"1. TERAPÉUTICO POR DISCAPACIDAD
2. TEJIENDO COMUNIDAD",ESPÍRITU SANTO,ANTONIO NARIÑO,HORTÚA,AVENIDA CARACAS No. 1 - 08 SUR,ROSALBA CORTÉS ROCHA,3115627285,asohanaso@gmail.com,VIERNES,MENSUAL,4 SEMANA
830050696,,FUNDACIÓN CENTRO DE ACCIÓN CULTURAL FRANCISCO JORDAN,TEJIENDO COMUNIDAD,SAN PABLO,RAFEL URIBE URIBE,PUERTO RICO,DIAGONAL 40 SUR No. 9 C - 15 (OPERATIVA) - DIAGONAL 40 SUR No. 9 B - 85 (ADMINISTRATIVA),MARTÍN MEDINA,3162727815,alescalante14@yahoo.com,VIERNES,MENSUAL,4 SEMANA
830011345,,ASOCIACION DE MUJERES DEL RIO,TEJIENDO COMUNIDAD,FONTIBÓN,KENNEDY,LOS ALMENDROS,DG 6B N.78A-70,LUZ MARINA VELASCO TIQUE,3183655715,asociaciondemujeresdelrio@gmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA DEL MES
830051382,,FUNDACIÓN COLOMBO ALEMANA ACCIÓN MISERICORDIA,INTERNADO,ENGATIVÁ,BARRIOS UNIDOS,RÍO NEGRO,CARRERA 60 BIS No. 94 B - 53,PAULA CAINA - estiven alejandro raquira rojas)(pedidos),3117463811 (toma de pedidos) - 6959170 - 3143738578-3224194282,admon@fundacioncolomboalemana.org,SÁBADO,QUINCENAL,2 Y 4 SEMANA
900575354,,PARROQUIA JESUCRISTO PUERTA DE LA FE,BUEN SAMARITANO,SAN PABLO,USME,PUERTA AL LLANO,CALLE 107 SUR No. 7 G - 14 ESTE - CARRERA 6 C ESTE No. 106 - 07 SUR (SALÓN COMUNAL EL UVAL II - SEGUNDO PUNTO DE ENVÍO),"PADRE DELIO RUÍZ, PADRE RAFAEL FREIRE NOBREGA, PADRE JOKOLILOSCJ",3102921183 - 3102921223 - 3102920139 - 7688720,"pjesucristopuertadelafe@hotmail.com, nobregascj@hotmail.com, liloscj2@gmail.com",MIÉRCOLES,MENSUAL,1 SEMANA
901053834,,FUNDACION KENEDY GOSPEL,TEJIENDO COMUNIDAD,FONTIBÓN,KENNEDY,KENNEDY CENTRAL,CRA 78 H NO. 40 A 82 SUR,"HENRY MORENO
HELEN MORENO",3015180734 - 3006554920,fundacionkennedygospel@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA DEL MES
901654583,,FUNDACIÓN UN MAR DE FUEGÜITOS,COMEDOR ESCOLAR,ESPÍRITU SANTO,PUENTE ARANDA,MUZÚ OSPINA PÉREZ,CALLE 41 B BIS SUR No. 51 A - 22,MARIANA GRISALES GONZÁLEZ,3213046791-3202278966,fundacionmardefueguitos2022@gmail.com,VIERNES,QUINCENAL,1 Y 3 SEMANA
900013300,,FUNDACIÓN CENTRO MARIE POUSSEPIN,COMEDOR AMIGO,SAN PABLO,USME,VILLA ISRAEL,CARRERA 5 BIS No. 110 - 17 SUR,HERMANA REYNA ELVIRA,3208605441,casamariepoussepinusminia@gmail.com,SABADO,QUINCENAL,1 Y 3 SEMANA
900947973,,IGLESIA BAUTISTA FUNDAMENTAL PALABRA EFICAZ Y VIVA,COMEDOR AMIGO,INMACULADA CONCEPCIÓN,SANTA FÉ,LAS CRUCES,CALLE 3 No. 8 A - 25,HERBERT ALFONSO CALDERÓN MORERA - SADY RODRÍGUEZ ESCÁRRAGA - DANIEL CÁRDENAS,3133487339 - 3134489287 - 3123616454,iglesiabiblicapalabraviva@gmail.com,JUEVES,QUINCENAL,2 Y 4 SEMANA
860526888,,HERMANAS MISIONERAS DE LA CARIDAD,ADULTO MAYOR,INMACULADA CONCEPCIÓN,SANTA FÉ,LA PERSEVERANCIA,CRA 3A BIS No. 32-18,#N/A,8055306,dery.dely@hotmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA DEL MES
